application_id,sector,region,legal_structure,years_in_operation,num_employees,annual_revenue_ghs,total_assets_ghs,current_ratio,debt_to_equity,profit_margin_pct,account_age_months,avg_monthly_transactions,avg_account_balance_ghs,previous_loans,previous_loan_performance,owner_age,owner_education,credit_bureau_score,owner_has_other_businesses,loan_amount_requested_ghs,loan_to_revenue_ratio,loan_purpose,loan_term_months,collateral_type,collateral_coverage_pct,interest_rate_pct,application_date,loan_status
APP000001,Trading,Central,Sole Proprietorship,10,4,136117,165737,1.01,1.16,-0.9,35,89,16653,0,No History,35,Postgraduate,725,Yes,25927,0.19,Working Capital,24,Vehicle,73.5,29.3,2025-10-29,Performing
APP000002,Retail,Eastern,Partnership,5,2,204138,242364,0.3,0.9,32.2,23,67,15805,1,Good,42,Primary,651,Yes,26469,0.13,Expansion,12,None,0.0,21.4,2024-09-15,Performing
APP000003,Construction,Ashanti,Limited Liability,7,10,773041,752973,0.32,0.35,-10.1,24,66,53099,0,No History,47,Tertiary,595,Yes,56324,0.07,Working Capital,24,Property,114.4,28.7,2025-05-21,Performing
APP000004,Services,Upper East,Sole Proprietorship,5,2,378307,261090,0.63,0.57,5.0,16,18,52485,0,No History,58,Secondary,586,No,31458,0.08,Equipment Purchase,24,Property,101.1,30.8,2025-05-30,Performing
APP000005,Agriculture,Greater Accra,Limited Liability,7,2,292595,415500,0.67,3.83,7.8,37,80,17419,1,Fair,63,Secondary,637,Yes,11305,0.04,Inventory,36,Equipment,74.0,24.2,2024-07-21,Performing
APP000006,Agriculture,Greater Accra,Sole Proprietorship,5,23,28690,30324,0.3,1.05,11.8,59,87,3482,2,Excellent,27,Tertiary,650,No,104669,3.65,Expansion,24,Property,67.0,25.6,2025-05-26,Performing
APP000007,Agriculture,Central,Limited Liability,10,49,213859,206646,1.07,0.99,-10.0,14,97,32455,1,Good,40,Tertiary,515,No,142332,0.67,Equipment Purchase,36,Inventory,65.1,18.1,2025-07-10,Performing
APP000008,Transport,Ashanti,Limited Liability,6,10,56715,64084,0.95,0.95,10.1,35,88,3848,1,Excellent,40,Secondary,723,No,46602,0.82,Working Capital,18,Vehicle,67.7,25.2,2025-11-04,Performing
APP000009,Services,Central,Sole Proprietorship,5,22,31474,24345,1.15,1.63,-12.2,25,23,1587,1,Excellent,33,Tertiary,608,No,111320,3.54,Equipment Purchase,12,Personal Guarantee,2.9,23.0,2025-07-18,Non-Performing
APP000010,Construction,Northern,Sole Proprietorship,0,5,179202,128898,0.82,1.36,9.2,24,73,28237,1,Excellent,43,Tertiary,655,Yes,41402,0.23,Working Capital,24,Property,67.8,29.4,2025-03-19,Performing
